                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    249,                 0.5053,                0.27713,                0.88851,                0.99018,                0.98195,                0.98537,                 0.8013,                0.87935,                0.32742,                 1.0525,              0.0075547,              0.0075547,              0.0075547
                    250,                 0.5082,                0.27458,                0.89366,                0.98563,                0.97711,                0.98458,                0.79591,                0.89353,                0.33982,                  1.051,              0.0075448,              0.0075448,              0.0075448
                    251,                0.49768,                0.27508,                0.89288,                0.98889,                0.97796,                0.98632,                0.80015,                0.87945,                0.33243,                 1.0509,              0.0075349,              0.0075349,              0.0075349
                    252,                0.50989,                 0.2757,                 0.8923,                0.98694,                0.97725,                 0.9859,                0.80295,                0.87511,                0.33043,                 1.0509,               0.007525,               0.007525,               0.007525
                    253,                0.49434,                0.27131,                0.88715,                0.97952,                0.97884,                0.98546,                0.80316,                0.88254,                0.34064,                 1.0569,              0.0075151,              0.0075151,              0.0075151
                    254,                  0.499,                0.26935,                0.89332,                0.99049,                0.97875,                0.98591,                0.80258,                0.87956,                0.33555,                 1.0571,              0.0075052,              0.0075052,              0.0075052
                    255,                0.48497,                0.26848,                 0.8909,                0.98408,                 0.9681,                 0.9839,                0.80414,                0.87644,                0.33785,                  1.053,              0.0074953,              0.0074953,              0.0074953
                    256,                0.48934,                0.27246,                0.89119,                0.98866,                0.97605,                0.98662,                0.80285,                0.88906,                 0.3356,                 1.0556,              0.0074854,              0.0074854,              0.0074854
                    257,                0.49775,                0.27147,                 0.8909,                0.98929,                0.98003,                0.98537,                0.80497,                0.87383,                0.33354,                 1.0525,              0.0074755,              0.0074755,              0.0074755
                    258,                0.48055,                0.26878,                0.89008,                0.98864,                0.97881,                0.98643,                0.80697,                0.87058,                0.33375,                 1.0489,              0.0074656,              0.0074656,              0.0074656
                    259,                 0.5007,                0.27179,                 0.8904,                0.98773,                0.98014,                0.98567,                 0.8053,                 0.8846,                0.33234,                 1.0564,              0.0074557,              0.0074557,              0.0074557
                    260,                0.48803,                0.26713,                0.89258,                0.98518,                0.97569,                0.98438,                0.80177,                0.88265,                0.33191,                 1.0594,              0.0074458,              0.0074458,              0.0074458
                    261,                0.49262,                0.26827,                0.88805,                0.98652,                0.98133,                0.98571,                 0.8008,                0.89885,                0.33253,                 1.0699,              0.0074359,              0.0074359,              0.0074359
                    262,                0.48606,                0.27005,                0.88577,                0.98168,                0.96821,                0.98636,                 0.8013,                0.89319,                0.34163,                 1.0729,               0.007426,               0.007426,               0.007426
